start_date,end_date,calendar_days,trading_days,avg_vix,avg_rv20,avg_spy_return
2008-06-05,2009-12-01,545,377,35.13,0.332,-0.000474
2020-02-24,2021-03-24,395,274,29.97,0.2594,0.000628
2022-01-18,2023-01-23,371,255,25.62,0.2375,-0.000519
2007-11-01,2008-04-22,174,118,24.72,0.2197,-0.000882
2011-07-27,2012-01-06,164,114,31.74,0.304,-0.000277
2010-04-27,2010-10-05,162,113,26.58,0.2211,-0.000307
2018-10-10,2019-01-24,107,72,21.55,0.2309,-0.001122
2025-02-27,2025-05-14,77,54,25.73,0.3176,-0.000162
2016-01-04,2016-03-01,58,40,22.97,0.21,-0.000717
2007-07-26,2007-09-20,57,40,24.43,0.2054,0.00011
2012-05-14,2012-06-29,47,34,21.73,0.1586,0.000258
2015-08-20,2015-10-05,47,32,25.31,0.2617,-0.001352
2026-03-03,2026-04-15,44,31,24.37,0.152,0.000719
2010-01-21,2010-02-24,35,24,23.32,0.1819,-0.001139
2021-11-22,2021-12-27,36,24,22.36,0.1559,0.000883
2018-02-02,2018-03-08,35,24,21.95,0.2449,-0.001122
2018-03-22,2018-04-24,34,23,19.69,0.2153,-0.001215
2019-08-05,2019-09-05,32,23,18.93,0.203,0.000766
2023-03-09,2023-03-31,23,17,22.46,0.1762,0.001748
2024-08-02,2024-08-26,25,17,20.18,0.208,0.001895
2021-09-17,2021-10-05,19,13,21.63,0.1184,-0.002213
2011-03-10,2011-03-21,12,8,23.53,0.1679,-0.001986
2014-12-10,2014-12-18,9,7,19.99,0.1088,0.000214
2016-06-22,2016-06-29,8,6,20.57,0.1392,-0.001429
2016-11-02,2016-11-07,6,4,20.65,0.0798,0.002523
2024-12-18,2024-12-19,2,2,25.86,0.1284,-0.015282
2007-02-27,2007-02-27,1,1,18.31,0.1584,-0.039841
