test_year,train_start,train_end,test_start,test_end,test_days,crisis_state,bh_cagr,hmm_cagr,bh_max_drawdown,hmm_max_drawdown,bh_sharpe,hmm_sharpe,pct_days_invested,regime_switches,avg_p_high_vol,bh_total_return,hmm_total_return
2015,2005-02-01,2014-12-31,2015-01-02,2015-12-31,252,0,0.012885,-0.050996,0.119102,0.117119,0.083498,-0.394193,0.873016,2,0.126231,0.012885,-0.050996
2016,2005-02-01,2015-12-31,2016-01-04,2016-12-30,252,0,0.135858,0.051137,0.091875,0.055601,1.046633,0.595729,0.813492,6,0.191838,0.135858,0.051137
2017,2005-02-01,2016-12-31,2017-01-03,2017-12-29,251,1,0.208723,0.208723,0.026101,0.026101,3.111165,3.111165,1.0,0,1e-06,0.207814,0.207814
2018,2005-02-01,2017-12-31,2018-01-02,2018-12-31,251,1,-0.052675,0.010761,0.193489,0.126426,-0.309468,0.10633,0.613546,5,0.398635,-0.052471,0.010718
2019,2005-02-01,2018-12-31,2019-01-02,2019-12-31,252,1,0.310875,0.166041,0.066183,0.074988,2.484737,1.6961,0.789683,8,0.201762,0.310875,0.166041
2020,2005-02-01,2019-12-31,2020-01-02,2020-12-31,253,0,0.171616,-0.040996,0.337173,0.079329,0.514015,-0.662401,0.150198,1,0.862515,0.172352,-0.041155
2021,2005-02-01,2020-12-31,2021-01-04,2021-12-31,252,1,0.305055,0.204116,0.051141,0.044092,2.363731,2.8464,0.535714,10,0.495546,0.305055,0.204116
2022,2005-02-01,2021-12-31,2022-01-03,2022-12-30,251,0,-0.187133,-0.065059,0.244964,0.064809,-0.772181,-1.875651,0.051793,1,0.960964,-0.186464,-0.064809
2023,2005-02-01,2022-12-31,2023-01-03,2023-12-29,250,1,0.269494,0.191334,0.099743,0.099743,2.062636,1.688089,0.832,4,0.156269,0.267092,0.18968
2024,2005-02-01,2023-12-31,2024-01-02,2024-12-31,252,0,0.255893,0.121387,0.084056,0.105315,2.038612,1.068882,0.861111,6,0.144235,0.255893,0.121387
2025,2005-02-01,2024-12-31,2025-01-02,2025-12-31,250,0,0.181654,0.126891,0.187552,0.052933,0.932315,1.423789,0.68,6,0.322098,0.18009,0.125823
2026,2005-02-01,2025-12-31,2026-01-02,2026-06-09,109,1,0.199384,0.08797,0.08885,0.029648,1.458693,0.890667,0.715596,2,0.276702,0.081814,0.037142
